date,Site,Half,Plot1,Plot2,Plot3,Plot4,Plot5
5/25/2016,Pothole,S,20.7,24.4,34.2,25.3,26.1
6/2/2016,Pothole,S,19.1,18.1,31.4,28.6,26.8
6/9/2016,Pothole,S,14.7,14.7,34,26.3,14
6/24/2016,Pothole,S,10.6,8.7,27,15.2,9.7
6/28/2016,Pothole,S,2.6,5.1,11.3,8.5,4.5
7/7/2016,Pothole,S,1.4,1.7,9.1,5.1,3.2
7/21/2016,Pothole,S,14.3,4.9,16.8,17.1,16.5
8/10/2016,Pothole,S,4,3.5,7.1,8.3,7.1
5/19/2016,No Till,N,37.7,24.6,30.2,35.3,29.8
5/25/2016,No Till,N,18.2,13,27,21.2,17.7
6/2/2016,No Till,N,24.1,20.9,10.4,24.7,17.6
6/9/2016,No Till,N,14.3,13.7,7,11.4,12.8
6/24/2016,No Till,N,8.9,10.7,6.6,6.6,2.5
6/28/2016,No Till,N,3,6.9,3.4,1.6,1.3
7/7/2016,No Till,N,3,0.2,2.2,1.9,8
7/21/2016,No Till,N,16.5,8.5,14.5,15.8,10
8/10/2016,No Till,N,5.4,5.6,4.5,6,4.6
5/19/2016,No Till,S,31.9,36.1,29.4,25.7,32.4
5/25/2016,No Till,S,17.8,21.6,27.8,12.9,20.1
6/2/2016,No Till,S,18,21.8,29.1,8.6,11.8
6/9/2016,No Till,S,13,12.6,16.4,7.6,12.3
6/24/2016,No Till,S,8.2,9.6,7.6,4.9,5.5
6/28/2016,No Till,S,2.8,4.3,1.9,1.7,2.9
7/7/2016,No Till,S,2.6,4.3,2.8,1.7,13.8
7/21/2016,No Till,S,13.7,14.4,10.3,13.9,12.1
8/10/2016,No Till,S,4.9,6.3,5.9,8.2,6.4
5/19/2016,Reed Canary,N,34.8,37.7,27.2,31.3,43.4
5/25/2016,Reed Canary,N,20.9,22.5,12.4,9.5,28.3
6/2/2016,Reed Canary,N,8.5,8.5,5.1,9.8,8.3
6/9/2016,Reed Canary,N,6.7,2.2,3.9,5,9.9
6/24/2016,Reed Canary,N,3.4,5.2,2.2,7.7,6.6
6/28/2016,Reed Canary,N,0.5,2.1,1.6,0.1,1.5
7/7/2016,Reed Canary,N,0,0.1,0,0,0.7
7/21/2016,Reed Canary,N,7.2,21,11.8,15.9,9.4
8/10/2016,Reed Canary,N,7.1,6,5.5,8.1,7.5
5/19/2016,Reed Canary,S,23.4,16.3,9.9,21.9,21.2
5/25/2016,Reed Canary,S,7.2,3.1,1.3,7.8,11.3
6/2/2016,Reed Canary,S,11.5,28.2,19.3,12.2,37.4
6/9/2016,Reed Canary,S,10.4,17.9,10.9,8.4,22.5
6/24/2016,Reed Canary,S,8.3,12.1,8.9,12,10
6/28/2016,Reed Canary,S,1.7,11.9,6.7,5.5,5.2
7/7/2016,Reed Canary,S,2.4,3.2,5.7,4.3,5.3
7/21/2016,Reed Canary,S,13.7,20.2,16.1,11.1,10.9
8/10/2016,Reed Canary,S,5.6,12.3,11.7,12,9.8
5/19/2016,Soil Pit,E,20.1,15.1,22.6,21.1,28.8
5/25/2016,Soil Pit,E,9.8,10,10.2,5.6,17.5
6/2/2016,Soil Pit,E,8.6,6.1,4.8,6.5,12.8
6/9/2016,Soil Pit,E,7,8.4,7,4.4,10.5
6/24/2016,Soil Pit,E,6.2,7.1,5,5.4,5.5
6/28/2016,Soil Pit,E,2,4.9,1.9,0.7,5.9
7/7/2016,Soil Pit,E,1.8,2.5,4.4,1.1,2.9
7/21/2016,Soil Pit,E,14.2,4.2,12.9,10.5,11.2
8/10/2016,Soil Pit,E,6,4.2,5.6,4,5
5/19/2016,Soil Pit,W,27.2,27,25.3,26.5,19.4
5/25/2016,Soil Pit,W,17.5,12.7,11.8,26.8,15.6
6/2/2016,Soil Pit,W,11.9,4.4,5.7,18,8.8
6/9/2016,Soil Pit,W,4.9,5.8,7,18.7,8.3
6/24/2016,Soil Pit,W,7.3,9.1,8.4,4.3,8.6
6/28/2016,Soil Pit,W,2.1,1.2,0,6,2.9
7/7/2016,Soil Pit,W,1.1,1.4,0,3.9,1.3
7/21/2016,Soil Pit,W,8.8,8.2,11.9,5.6,11.9
8/10/2016,Soil Pit,W,8.6,8.7,5.7,4.2,5.7
5/19/2016,Spruce Lodge,E,24.3,28.7,32.8,25,14.8
5/25/2016,Spruce Lodge,E,18.4,14.8,18.8,14.4,10.8
6/2/2016,Spruce Lodge,E,11.3,11.3,15.8,17.3,9.7
6/9/2016,Spruce Lodge,E,14.2,7.2,10,5.7,7.2
6/24/2016,Spruce Lodge,E,11.6,4.7,10.2,6.9,5.5
6/28/2016,Spruce Lodge,E,0.9,4.5,1.8,3.3,1.9
7/7/2016,Spruce Lodge,E,1.6,2.4,0.5,0.5,1.1
7/21/2016,Spruce Lodge,E,15.4,13.2,14.3,12.4,7.4
8/10/2016,Spruce Lodge,E,10.4,3.4,6.3,7.8,7.8
5/19/2016,Spruce Lodge,W,32,28.7,34.2,32.7,21.2
5/25/2016,Spruce Lodge,W,15.2,8,19.1,11.2,6.3
6/2/2016,Spruce Lodge,W,13.1,17.1,17.5,9.8,7.6
6/9/2016,Spruce Lodge,W,7.9,8.3,10.5,7.4,4.1
6/24/2016,Spruce Lodge,W,6,5.4,7.6,9.4,5.5
6/28/2016,Spruce Lodge,W,8,1.9,4.9,3.5,4.8
7/7/2016,Spruce Lodge,W,0.3,0.2,0.1,3,0.8
7/21/2016,Spruce Lodge,W,14.4,13.5,14.4,14.9,10.6
8/10/2016,Spruce Lodge,W,7.6,9.8,9.1,10,5.3
5/19/2016,Succession,E,24.1,24.4,25.8,19.2,20.9
5/25/2016,Succession,E,14.2,7.5,13.9,11.9,8.1
6/2/2016,Succession,E,6.1,8.9,11.5,9.1,11.4
6/9/2016,Succession,E,12.3,7.3,9.4,7.1,7.7
6/24/2016,Succession,E,10.5,6.5,6.2,5.8,7.5
6/28/2016,Succession,E,6.8,2,0.1,3.1,1.2
7/7/2016,Succession,E,3.6,5.5,0.3,1.5,4.9
7/21/2016,Succession,E,13.4,13.1,14.5,13.7,11.7
8/10/2016,Succession,E,9.7,10.1,7.7,6.5,7.1
5/19/2016,Succession,W,20.5,27.3,32.1,15.5,28.3
5/25/2016,Succession,W,14.4,15.2,15,17.5,17.9
6/2/2016,Succession,W,11.5,7.1,8.5,8.9,7.8
6/9/2016,Succession,W,10.6,11,9.4,9.6,9.5
6/24/2016,Succession,W,11.5,14.7,8.7,11.6,5.6
6/28/2016,Succession,W,5,10.5,2.7,2.2,2.1
7/7/2016,Succession,W,4.8,5.6,1.1,0.9,1.7
7/21/2016,Succession,W,15.5,20.2,13.8,18.8,15.2
8/10/2016,Succession,W,15,9.9,8.1,10.8,5.6
5/19/2016,Water Tower,N,28.9,31.6,32.5,25.2,25.2
